country,state,city,station,last_update,latitude,longitude,pollutant_id,pollutant_min,pollutant_max,pollutant_avg
India,Karnataka,Bengaluru,"Peenya, Bengaluru - CPCB","23-02-2025 22:00:00",13.0270199,77.494094,PM10,74,100,84
India,Karnataka,Madikeri,"Stuart Hill, Madikeri - KSPCB","23-02-2025 22:00:00",12.415911,75.735050,OZONE,4,6,6
India,Karnataka,Mangalore,"Kadri, Mangalore - KSPCB","23-02-2025 22:00:00",12.889250,74.853000,PM2.5,57,106,77
India,Karnataka,Mangalore,"Kadri, Mangalore - KSPCB","23-02-2025 22:00:00",12.889250,74.853000,PM10,67,115,90
India,Karnataka,Mangalore,"Kadri, Mangalore - KSPCB","23-02-2025 22:00:00",12.889250,74.853000,NO2,10,14,12
India,Karnataka,Mangalore,"Kadri, Mangalore - KSPCB","23-02-2025 22:00:00",12.889250,74.853000,CO,23,28,24
India,Karnataka,Mysuru,"Hebbal 1st Stage, Mysuru - KSPCB","23-02-2025 22:00:00",12.21041,76.37376,NH3,3,6,5
India,Karnataka,Ramanagara,"Vijay Nagar, Ramanagara - KSPCB","23-02-2025 22:00:00",12.733409,77.298051,OZONE,14,76,57
India,Karnataka,Bengaluru,"Peenya, Bengaluru - CPCB","23-02-2025 22:00:00",13.0270199,77.494094,SO2,9,12,10
India,Karnataka,Bengaluru,"RVCE-Mailasandra, Bengaluru - KSPCB","23-02-2025 22:00:00",12.921418,77.502466,CO,24,45,39
India,Karnataka,Bengaluru,"RVCE-Mailasandra, Bengaluru - KSPCB","23-02-2025 22:00:00",12.921418,77.502466,OZONE,25,26,25
India,Karnataka,Bengaluru,"Sanegurava Halli, Bengaluru - KSPCB","23-02-2025 22:00:00",12.990328,77.5431385,PM10,33,36,34
India,Karnataka,Bengaluru,"Silk Board, Bengaluru - KSPCB","23-02-2025 22:00:00",12.917348,77.622813,PM10,78,192,109
India,Karnataka,Bengaluru,"Silk Board, Bengaluru - KSPCB","23-02-2025 22:00:00",12.917348,77.622813,NO2,14,50,24
India,Karnataka,Bengaluru,"Silk Board, Bengaluru - KSPCB","23-02-2025 22:00:00",12.917348,77.622813,NH3,2,3,2
India,Kerala,Kollam,"Polayathode, Kollam - Kerala PCB","23-02-2025 22:00:00",8.8787,76.6073,PM10,86,96,91
India,Kerala,Thiruvananthapuram,"Kariavattom, Thiruvananthapuram - Kerala PCB","23-02-2025 22:00:00",8.563700,76.886500,OZONE,36,37,36
India,Kerala,Thiruvananthapuram,"Plammoodu, Thiruvananthapuram - Kerala PCB","23-02-2025 22:00:00",8.5149093,76.9435879,NO2,24,50,35
India,Kerala,Thrissur,"Corporation Ground, Thrissur - Kerala PCB","23-02-2025 22:00:00",10.532400,76.215900,NO2,10,11,11
India,"Madhya Pradesh",Bhopal,"Idgah Hills, Bhopal - MPPCB","23-02-2025 22:00:00",23.264759,77.381568,PM10,70,127,92
India,Karnataka,Kalaburagi,"Lal Bahadur Shastri Nagar, Kalaburagi - KSPCB","23-02-2025 22:00:00",17.321993,76.822628,SO2,34,41,38
India,Karnataka,Kalaburagi,"Lal Bahadur Shastri Nagar, Kalaburagi - KSPCB","23-02-2025 22:00:00",17.321993,76.822628,OZONE,22,73,50
India,Karnataka,Karwar,"KHB Colony, Karwar - KSPCB","23-02-2025 22:00:00",14.816666,74.141003,CO,10,10,10
India,Karnataka,Kolar,"Tamaka Ind. Area, Kolar - KSPCB","23-02-2025 22:00:00",13.1276288,78.1570122,PM10,NA,NA,NA
India,Karnataka,Kolar,"Tamaka Ind. Area, Kolar - KSPCB","23-02-2025 22:00:00",13.1276288,78.1570122,CO,NA,NA,NA
India,Karnataka,Madikeri,"Stuart Hill, Madikeri - KSPCB","23-02-2025 22:00:00",12.415911,75.735050,PM2.5,31,66,50
India,Karnataka,Dharwad,"Kalabhavan, Dharwad - KSPCB","23-02-2025 22:00:00",15.459706,75.008381,NH3,3,4,4
India,Karnataka,Hassan,"B.Katihalli, Hassan - KSPCB","23-02-2025 22:00:00",13.008556,76.125258,PM2.5,NA,NA,NA
India,Karnataka,Hassan,"B.Katihalli, Hassan - KSPCB","23-02-2025 22:00:00",13.008556,76.125258,NO2,NA,NA,NA
India,Karnataka,Hubballi,"Lingaraj Nagar, Hubballi - KSPCB","23-02-2025 22:00:00",15.3714823,75.1160168,NH3,1,2,1
India,Karnataka,Hubballi,"Lingaraj Nagar, Hubballi - KSPCB","23-02-2025 22:00:00",15.3714823,75.1160168,CO,2,102,20
India,Karnataka,Shivamogga,"Vinoba Nagara, Shivamogga - KSPCB","23-02-2025 22:00:00",13.940000,75.555917,PM10,40,74,50
India,Karnataka,Tumakuru,"Thimmalapura, Tumakuru - KSPCB","23-02-2025 22:00:00",13.377516,77.099072,SO2,7,16,8
India,Karnataka,Tumakuru,"Thimmalapura, Tumakuru - KSPCB","23-02-2025 22:00:00",13.377516,77.099072,OZONE,5,9,7
India,Karnataka,Vijayapura,"Ibrahimpur, Vijayapura - KSPCB","23-02-2025 22:00:00",16.802639,75.722694,PM2.5,30,38,37
India,Kerala,Eloor,"Udyogamandal, Eloor - Kerala PCB","23-02-2025 22:00:00",10.073232,76.302765,SO2,NA,NA,NA
India,Kerala,Eloor,"Udyogamandal, Eloor - Kerala PCB","23-02-2025 22:00:00",10.073232,76.302765,CO,6,103,94
India,Kerala,Kannur,"Thavakkara, Kannur - Kerala PCB","23-02-2025 22:00:00",11.875000,75.373200,SO2,NA,NA,NA
India,Kerala,Kollam,"Polayathode, Kollam - Kerala PCB","23-02-2025 22:00:00",8.8787,76.6073,PM2.5,44,57,52
India,Karnataka,Chamarajanagar,"Urban, Chamarajanagar - KSPCB","23-02-2025 22:00:00",11.55358,76.55521,CO,14,120,23
India,Karnataka,Chikkaballapur,"Chikkaballapur Rural, Chikkaballapur - KSPCB","23-02-2025 22:00:00",13.428828,77.731418,PM2.5,32,199,71
India,Karnataka,Chikkaballapur,"Chikkaballapur Rural, Chikkaballapur - KSPCB","23-02-2025 22:00:00",13.428828,77.731418,NH3,1,2,1
India,Karnataka,Chikkaballapur,"Chikkaballapur Rural, Chikkaballapur - KSPCB","23-02-2025 22:00:00",13.428828,77.731418,CO,12,21,15
India,"Madhya Pradesh",Katni,"Gole Bazar, Katni - MPPCB","23-02-2025 22:00:00",23.50016,80.23284,NH3,3,5,4
India,"Madhya Pradesh",Katni,"Gole Bazar, Katni - MPPCB","23-02-2025 22:00:00",23.50016,80.23284,SO2,16,48,31
India,"Madhya Pradesh",Maihar,"Sahilara, Maihar - KJS Cements","23-02-2025 22:00:00",24.2613009,80.7231783,PM2.5,2,26,12
India,"Madhya Pradesh",Maihar,"Sahilara, Maihar - KJS Cements","23-02-2025 22:00:00",24.2613009,80.7231783,PM10,7,42,25
India,"Madhya Pradesh",Mandideep,"Sector-D Industrial Area, Mandideep - MPPCB","23-02-2025 22:00:00",23.108440,77.511428,SO2,15,111,48
India,"Madhya Pradesh",Pithampur,"Sector-2 Industrial Area, Pithampur - MPPCB","23-02-2025 22:00:00",22.624758,75.675238,PM2.5,40,239,89
India,"Madhya Pradesh",Pithampur,"Sector-2 Industrial Area, Pithampur - MPPCB","23-02-2025 22:00:00",22.624758,75.675238,PM10,79,327,135
India,"Madhya Pradesh",Pithampur,"Sector-2 Industrial Area, Pithampur - MPPCB","23-02-2025 22:00:00",22.624758,75.675238,NO2,6,88,23
India,"Madhya Pradesh",Pithampur,"Sector-2 Industrial Area, Pithampur - MPPCB","23-02-2025 22:00:00",22.624758,75.675238,OZONE,22,105,71
India,"Madhya Pradesh",Ratlam,"Shasthri Nagar, Ratlam - IPCA Lab","23-02-2025 22:00:00",23.331731,75.045981,PM2.5,28,228,82
India,"Madhya Pradesh",Indore,"Chhoti Gwaltoli, Indore - MPPCB","23-02-2025 22:00:00",22.4310,75.5213,PM10,80,198,122
India,"Madhya Pradesh",Indore,"Chhoti Gwaltoli, Indore - MPPCB","23-02-2025 22:00:00",22.4310,75.5213,NH3,1,2,1
India,"Madhya Pradesh",Indore,"Residency Area, Indore - IMC","23-02-2025 22:00:00",22.7084,75.8815,PM2.5,34,98,59
India,"Madhya Pradesh",Indore,"Residency Area, Indore - IMC","23-02-2025 22:00:00",22.7084,75.8815,PM10,47,129,80
India,"Madhya Pradesh",Indore,"Vijay Nagar Scheme-78, Indore - Glenmark","23-02-2025 22:00:00",22.76726,75.88710,PM10,36,43,39
India,"Madhya Pradesh",Jabalpur,"Govindh Bhavan Colony, Jabalpur - JMC","23-02-2025 22:00:00",23.163174,79.973061,PM2.5,13,40,23
India,"Madhya Pradesh",Jabalpur,"Govindh Bhavan Colony, Jabalpur - JMC","23-02-2025 22:00:00",23.163174,79.973061,NO2,22,24,23
India,"Madhya Pradesh",Bhopal,"Idgah Hills, Bhopal - MPPCB","23-02-2025 22:00:00",23.264759,77.381568,NH3,3,5,4
India,"Madhya Pradesh",Bhopal,"Idgah Hills, Bhopal - MPPCB","23-02-2025 22:00:00",23.264759,77.381568,OZONE,6,109,88
India,"Madhya Pradesh",Bhopal,"Paryavaran Parisar, Bhopal - MPPCB","23-02-2025 22:00:00",23.210494,77.425409,PM2.5,30,213,95
India,"Madhya Pradesh",Bhopal,"Paryavaran Parisar, Bhopal - MPPCB","23-02-2025 22:00:00",23.210494,77.425409,PM10,67,276,140
India,"Madhya Pradesh",Bhopal,"T T Nagar, Bhopal - MPPCB","23-02-2025 22:00:00",23.233584,77.400574,OZONE,3,153,102
India,"Madhya Pradesh",Damoh,"Shrivastav Colony, Damoh - MPPCB","23-02-2025 22:00:00",23.81748678,79.446246,PM2.5,18,99,46
India,"Madhya Pradesh",Damoh,"Shrivastav Colony, Damoh - MPPCB","23-02-2025 22:00:00",23.81748678,79.446246,PM10,20,119,51
India,"Madhya Pradesh",Sagar,"Civil Lines, Sagar - MPPCB","23-02-2025 22:00:00",23.838586,78.759431,PM2.5,18,86,46
India,"Madhya Pradesh",Sagar,"Civil Lines, Sagar - MPPCB","23-02-2025 22:00:00",23.838586,78.759431,NH3,1,2,2
India,"Madhya Pradesh",Sagar,"Deen Dayal Nagar, Sagar - MPPCB","23-02-2025 22:00:00",23.8640158,78.80289321,PM2.5,29,151,71
India,"Madhya Pradesh",Sagar,"Deen Dayal Nagar, Sagar - MPPCB","23-02-2025 22:00:00",23.8640158,78.80289321,CO,22,54,26
